mt_id,x,y,density,mt,t_seconds,mt_length,deltaR_um
3_250,798.667,342.125,250,3,130,12.7752,1.216616439
3_250,794.167,345.875,250,3,132,12.7752,1.171537451
3_250,791.083,349.042,250,3,134,12.7752,0.884102822
3_250,787.5,352.083,250,3,136,12.7752,0.93990574
3_250,782.833,357,250,3,138,12.7752,1.355843324
3_250,779.958,360.375,250,3,140,12.7752,0.886707393
3_250,775.125,362.958,250,3,142,12.7752,1.09598865
3_250,771.042,366.5,250,3,144,12.7752,1.081048621
3_250,767.042,369.292,250,3,146,12.7752,0.97560779
3_250,761.583,372.458,250,3,148,12.7752,1.262128947
3_250,757.75,376.208,250,3,150,12.7752,1.072462382
3_250,751.708,379.75,250,3,152,12.7752,1.400735921
3_250,748.042,381.792,250,3,154,12.7752,0.839269206
3_250,744,383.833,250,3,156,12.7752,0.905614598
3_250,738.375,387,250,3,158,12.7752,1.29105405
3_250,733.958,390.667,250,3,160,12.7752,1.148159884
3_250,729.458,394,250,3,162,12.7752,1.119980161
3_250,724.792,398.458,250,3,164,12.7752,1.290663705
3_250,723,404.083,250,3,166,12.7752,1.18070977
3_250,718.708,407,250,3,168,12.7752,1.037885408
3_250,714.958,413,250,3,170,12.7752,1.41509717
3_250,713.042,416.667,250,3,172,12.7752,0.827476767
3_250,711.042,420.5,250,3,174,12.7752,0.864682346
3_250,707.125,424.917,250,3,176,12.7752,1.180724828
3_250,704.875,427.958,250,3,178,12.7752,0.756575998
3_250,700.792,434.792,250,3,180,12.7752,1.592161361
3_250,698.833,439.083,250,3,182,12.7752,0.943405788
3_250,694.417,443,250,3,184,12.7752,1.180575199
3_250,689.375,448.042,250,3,186,12.7752,1.426092956
3_250,686.833,451.25,250,3,188,12.7752,0.81860926
3_250,682.125,456.542,250,3,190,12.7752,1.41662314
3_250,678.667,460.5,250,3,192,12.7752,1.051161795
3_250,673.917,465.917,250,3,194,12.7752,1.440921774
3_250,671.417,469.042,250,3,196,12.7752,0.80039053
3_250,667.083,473.708,250,3,198,12.7752,1.273657913
3_250,662.167,478.083,250,3,200,12.7752,1.316171433
4_250,309.125,755.125,250,4,2,10.6336,0
4_250,313,751.188,250,4,4,10.6336,1.104818429
4_250,316.938,748.062,250,4,6,10.6336,1.005578838
4_250,319.875,745.125,250,4,8,10.6336,0.830709047
4_250,323.125,741.5,250,4,10,10.6336,0.973717105
4_250,326.438,738,250,4,12,10.6336,0.963866568
4_250,330.25,734.562,250,4,14,10.6336,1.026668165
4_250,333.75,729.812,250,4,16,10.6336,1.180042372
4_250,336.062,726.125,250,4,18,10.6336,0.87038642
4_250,339.25,722.438,250,4,20,10.6336,0.974829483
4_250,343.875,719,250,4,22,10.6336,1.152570501
4_250,348.062,715.25,250,4,24,10.6336,1.124161359
4_250,350.625,711.125,250,4,26,10.6336,0.971279445
4_250,353.812,706,250,4,28,10.6336,1.207022684
4_250,356.875,702,250,4,30,10.6336,1.007610421
4_250,359.188,696.875,250,4,32,10.6336,1.124554916
4_250,362.125,694.688,250,4,34,10.6336,0.732364336
4_250,368.062,690.062,250,4,36,10.6336,1.505295253
4_250,370.75,687.938,250,4,38,10.6336,0.685177933
4_250,376.25,683.875,250,4,40,10.6336,1.367595978
4_250,379.75,681.875,250,4,42,10.6336,0.806225775
4_250,386.688,676,250,4,44,10.6336,1.818257067
4_250,389.438,674,250,4,46,10.6336,0.680073525
4_250,393.25,670.938,250,4,48,10.6336,0.977899545
4_250,396.375,667.75,250,4,50,10.6336,0.892837477
4_250,402.062,663.125,250,4,52,10.6336,1.466050395
4_250,405.688,659.938,250,4,54,10.6336,0.965501838
4_250,408.688,657.062,250,4,56,10.6336,0.831176901
4_250,412.5,653.312,250,4,58,10.6336,1.06946424
4_250,417.062,648.812,250,4,60,10.6336,1.281590325
4_250,419.5,645.812,250,4,62,10.6336,0.773145368
4_250,423.688,641.062,250,4,64,10.6336,1.266520335
4_250,427.438,637.812,250,4,66,10.6336,0.992471662
4_250,431.188,634.188,250,4,68,10.6336,1.042993308
4_250,434.938,629.312,250,4,70,10.6336,1.230249991
4_250,437.25,624.688,250,4,72,10.6336,1.033957833
4_250,440.75,620,250,4,74,10.6336,1.1700828
4_250,443.25,615.75,250,4,76,10.6336,0.986154146
4_250,446.812,610.938,250,4,78,10.6336,1.197383614
4_250,448.125,605,250,4,80,10.6336,1.216286364
4_250,449.312,600.188,250,4,82,10.6336,0.991247961
4_250,450.062,595.062,250,4,84,10.6336,1.03611536
4_250,450.875,589.75,250,4,86,10.6336,1.074770915
4_250,450.75,584.625,250,4,88,10.6336,1.025304833
4_250,450.5,579,250,4,90,10.6336,1.126110563
4_250,451,574,250,4,92,10.6336,1.004987562
4_250,450.625,569.938,250,4,94,10.6336,0.815854619
4_250,450.312,565,250,4,96,10.6336,0.989581993
4_250,448.625,559.312,250,4,98,10.6336,1.186580178
4_250,447.562,554.875,250,4,100,10.6336,0.912511655
4_250,446.312,550.75,250,4,102,10.6336,0.862046982
4_250,447.375,546.062,250,4,104,10.6336,0.961401331
4_250,447.062,542.25,250,4,106,10.6336,0.764965699
4_250,446.875,537.812,250,4,108,10.6336,0.888387596
4_250,446.062,533,250,4,110,10.6336,0.9760392
4_250,445,527.188,250,4,112,10.6336,1.181646106
4_250,445.562,523.125,250,4,114,10.6336,0.820336833
4_250,447,517.438,250,4,116,10.6336,1.173197562
4_250,448,511.875,250,4,118,10.6336,1.130432997
4_250,449.188,507.938,250,4,120,10.6336,0.822467337
4_250,449.938,502.375,250,4,122,10.6336,1.122665916
4_250,450.25,497,250,4,124,10.6336,1.076809528
4_250,447.688,491.188,250,4,126,10.6336,1.270325753
4_250,446.688,485.875,250,4,128,10.6336,1.081257953
4_250,446.562,480,250,4,130,10.6336,1.175270199
4_250,446.188,474,250,4,132,10.6336,1.202329007
4_250,447.438,468.688,250,4,134,10.6336,1.091418233
4_250,446.062,464.062,250,4,136,10.6336,0.965261664
4_250,446,457.625,250,4,138,10.6336,1.287459716
4_250,444.75,451.938,250,4,140,10.6336,1.164550883
4_250,444.688,446.5,250,4,142,10.6336,1.087670685
4_250,444.938,441.25,250,4,144,10.6336,1.051189802
4_250,444.75,434.938,250,4,146,10.6336,1.262959825
4_250,444.75,429.75,250,4,148,10.6336,1.0376
4_250,444.875,425.188,250,4,150,10.6336,0.912742439
